RANK,SAB,TTY,SUPPRESS
0535,SNM,RT,N
0534,SNM,HT,N
0533,SNM,SY,N
0532,SNM,RS,N
0531,RCD,PT,N
0530,RCD,SY,N
0529,RCD,AT,N
0528,RCD,AS,Y
0527,RCD,AB,Y
0526,RCDSA,PT,N
0525,RCDSY,PT,N
0524,RCDAE,PT,N
0523,RCDSA,SY,N
0522,RCDSY,SY,N
0521,RCDAE,SY,N
0520,RCDAE,AT,N
0519,RCDSA,AB,Y
0518,RCDSY,AB,Y
0517,RCDAE,AB,Y
0516,RCDAE,AA,Y
0515,RCD,AA,Y
0514,CSP,PT,N
0513,CSP,SY,N
0512,CSP,ET,N
0511,CSP,AB,N
0510,MTH,DT,N
0509,HCPT,AM,Y
0508,HCPCS,AM,Y
0507,HCDT,AB,Y
0506,ALT,AB,Y
0505,CHV,SY,N
0504,RXNORM,ET,N
0503,SNOMEDCT_VET,OAP,Y
0502,SNOMEDCT_VET,OP,Y
0501,SNOMEDCT_US,OAP,Y
0500,SNOMEDCT_US,OP,Y
0499,SNOMEDCT_VET,OAF,Y
0498,SNOMEDCT_VET,OF,Y
0497,SNOMEDCT_US,OAF,Y
0496,SNOMEDCT_US,OF,Y
0495,SNOMEDCT_VET,OAS,Y
0494,SNOMEDCT_VET,IS,Y
0493,SNOMEDCT_US,OAS,Y
0492,SNOMEDCT_US,IS,Y
0491,SNOMEDCT_US,MTH_OAP,Y
0490,SNOMEDCT_US,MTH_OP,Y
0489,SNOMEDCT_US,MTH_OAF,Y
0488,SNOMEDCT_US,MTH_OF,Y
0487,SNOMEDCT_US,MTH_OAS,Y
0486,SNOMEDCT_US,MTH_IS,Y
0485,HPO,OP,Y
0484,HPO,IS,Y
0483,NCI,OP,Y
0482,LNC,LO,Y
0481,LNC,MTH_LO,Y
0480,LNC,OOSN,Y
0479,LNC,OLG,Y
0478,HPO,OET,Y
0477,NEU,OP,Y
0476,NEU,IS,Y
0475,NEU,ACR,Y
0474,MDR,MTH_OS,N
0473,CDT,OP,Y
0472,ICPC2P,OPN,Y
0471,ICPC2P,MTH_OPN,Y
0470,ICPC2P,OP,Y
0469,ICPC2P,MTH_OP,Y
0468,HCPCS,OP,Y
0467,HCDT,OP,Y
0466,HCPT,OP,Y
0465,HCPCS,OM,Y
0464,HCPCS,OAM,Y
0463,GO,OP,Y
0462,GO,MTH_OP,Y
0461,GO,OET,Y
0460,GO,MTH_OET,Y
0459,GO,IS,Y
0458,GO,MTH_IS,Y
0457,PDQ,OP,Y
0456,PDQ,IS,Y
0455,MDR,OL,Y
0454,MDR,MTH_OL,Y
0453,NUCCHCPT,DN,N
0452,NUCCHCPT,OP,Y
0451,CDCREC,OF,Y
0450,CDCREC,OP,Y
0449,HL7V3.0,OP,Y
0448,HL7V3.0,ONP,Y
0447,WHO,OS,N
0446,RCD,OP,Y
0445,RCD,IS,Y
0444,RCDSA,OP,Y
0443,RCDSY,OP,Y
0442,RCDAE,OP,Y
0441,RCDSA,IS,Y
0440,RCDSY,IS,Y
0439,RCDAE,IS,Y
0438,RCDSA,OA,Y
0437,RCDSY,OA,Y
0436,RCDAE,OA,Y
0435,RCD,OA,Y
0434,HCPT,OA,Y
0433,HCPCS,OA,Y
0432,HCDT,OA,Y
0431,FMA,OP,Y
0430,FMA,IS,Y
0429,DSM-5,DC10,N
0428,DSM-5,DC9,N
0427,DXP,DI,N
0426,DXP,FI,N
0425,DXP,SY,N
0424,RAM,PT,N
0423,RAM,RT,N
0422,ULT,PT,N
0421,BI,PT,N
0420,BI,AB,N
0419,BI,SY,N
0418,BI,RT,N
0417,PCDS,GO,N
0416,PCDS,OR,N
0415,PCDS,PR,N
0414,PCDS,CO,N
0413,PCDS,HX,N
0412,PCDS,HT,N
0411,MTHMST,PT,N
0410,MTHMST,SY,N
0409,DDB,PT,N
0408,DDB,SY,N
0407,CST,PT,N
0406,COSTAR,PT,N
0405,CST,SC,N
0404,CST,HT,N
0403,CST,GT,N
0402,CCPSS,TX,N
0401,CCPSS,TC,Y
0400,CCPSS,PT,N
0399,CCPSS,MP,N
0398,AOD,DE,N
0397,AOD,DS,N
0396,AOD,XD,N
0395,AOD,FN,N
0394,AOD,ET,N
0393,AOD,ES,N
0392,AOD,EX,N
0391,AOD,NP,N
0390,AOD,NS,N
0389,AOD,NX,N
0388,QMR,PT,N
0387,JABL,PC,N
0386,JABL,PT,N
0385,JABL,SS,N
0384,JABL,SY,N
0383,AIR,FI,N
0382,AIR,DI,N
0381,AIR,SY,N
0380,AIR,HT,N
0379,PPAC,DO,N
0378,PPAC,CL,N
0377,PPAC,AC,N
0376,PPAC,ST,N
0375,PPAC,TA,N
0374,MCM,PT,N
0373,MCM,RT,N
0372,SCTSPA,PT,N
0371,SCTSPA,FN,N
0370,SCTSPA,SY,N
0369,SCTSPA,MTH_PT,N
0368,SCTSPA,MTH_FN,N
0367,SCTSPA,MTH_SY,N
0366,SCTSPA,SB,N
0365,SCTSPA,OP,Y
0364,SCTSPA,OAF,Y
0363,SCTSPA,OAP,Y
0362,SCTSPA,OAS,Y
0361,SCTSPA,OF,Y
0360,SCTSPA,IS,Y
0359,SCTSPA,MTH_OP,Y
0358,SCTSPA,MTH_OAF,Y
0357,SCTSPA,MTH_OAP,Y
0356,SCTSPA,MTH_OAS,Y
0355,SCTSPA,MTH_OF,Y
0354,SCTSPA,MTH_IS,Y
0353,MSHPOR,MH,N
0352,MSHPOR,PEP,N
0351,MSHPOR,ET,N
0350,MSHSPA,MH,N
0349,MSHSPA,PEP,N
0348,MSHSPA,ET,N
0347,MSHCZE,MH,N
0346,MSHCZE,PEP,N
0345,MSHCZE,ET,N
0344,MSHCZE,TQ,N
0343,MSHCZE,XQ,N
0342,MSHCZE,PXQ,N
0341,MSHDUT,MH,N
0340,MSHSWE,MH,N
0339,MSHSWE,ET,N
0338,MSHSWE,TQ,N
0337,MSHNOR,MH,N
0336,MSHGER,MH,N
0335,MSHNOR,PEP,N
0334,MSHGER,PEP,N
0333,MSHNOR,DSV,Y
0332,MSHNOR,ET,N
0331,MSHGER,ET,N
0330,MSHFIN,MH,N
0329,MSHLAV,MH,N
0328,MSHSCR,MH,N
0327,MSHFRE,MH,N
0326,MSHLAV,PEP,N
0325,MSHSCR,PEP,N
0324,MSHFRE,PEP,N
0323,MSHLAV,EP,N
0322,MSHSCR,ET,N
0321,MSHFRE,ET,N
0320,MSHITA,MH,N
0319,MSHITA,PEP,N
0318,MSHITA,ET,N
0317,MSHJPN,PT,N
0316,MSHPOL,MH,N
0315,MSHRUS,MH,N
0314,MSHJPN,SY,N
0313,KCD5,HT,N
0312,TKMT,PT,N
0311,KCD5,PT,N
0310,MSHPOL,SY,N
0309,MSHRUS,SY,N
0308,MSHDUT,SY,N
0307,MDRSPA,PT,N
0306,MDRSPA,HG,N
0305,MDRSPA,HT,N
0304,MDRSPA,LLT,N
0303,MDRSPA,OS,N
0302,MDRSPA,SMQ,N
0301,MDRSPA,OL,Y
0300,MDRSPA,AB,Y
0299,MDRDUT,PT,N
0298,MDRDUT,HG,N
0297,MDRDUT,HT,N
0296,MDRDUT,LLT,N
0295,MDRDUT,OS,N
0294,MDRDUT,SMQ,N
0293,MDRDUT,OL,Y
0292,MDRDUT,AB,Y
0291,MDRFRE,PT,N
0290,MDRFRE,HG,N
0289,MDRFRE,HT,N
0288,MDRFRE,LLT,N
0287,MDRFRE,SMQ,N
0286,MDRFRE,OS,N
0285,MDRFRE,OL,Y
0284,MDRFRE,AB,Y
0283,MDRGER,PT,N
0282,MDRGER,HG,N
0281,MDRGER,HT,N
0280,MDRGER,LLT,N
0279,MDRGER,SMQ,N
0278,MDRGER,OS,N
0277,MDRGER,OL,Y
0276,MDRGER,AB,Y
0275,MDRITA,PT,N
0274,MDRISL,PT,N
0273,MDRITA,HG,N
0272,MDRISL,HG,N
0271,MDRITA,HT,N
0270,MDRISL,HT,N
0269,MDRISL,LLT,N
0268,MDRITA,LLT,N
0267,MDRITA,SMQ,N
0266,MDRISL,SMQ,N
0265,MDRISL,OS,N
0264,MDRITA,OS,N
0263,MDRISL,OL,Y
0262,MDRITA,OL,Y
0261,MDRISL,AB,Y
0260,MDRITA,AB,Y
0259,MDRJPN,PT,N
0258,MDRJPN,PTJKN,N
0257,MDRJPN,PTJKN1,N
0256,MDRJPN,HG,N
0255,MDRJPN,HGJKN,N
0254,MDRJPN,HGJKN1,N
0253,MDRJPN,HT,N
0252,MDRJPN,HTJKN,N
0251,MDRJPN,HTJKN1,N
0250,MDRJPN,LLT,N
0249,MDRJPN,LLTJKN,N
0248,MDRJPN,LLTJKN1,N
0247,MDRJPN,OS,N
0246,MDRJPN,SMQ,N
0245,MDRJPN,OL,Y
0244,MDRJPN,OLJKN,Y
0243,MDRJPN,OLJKN1,Y
0242,MDRHRV,PT,N
0241,MDRLIT,PT,N
0240,MDRCZE,PT,N
0239,MDREST,PT,N
0238,MDRKOR,PT,N
0237,MDRHUN,PT,N
0236,MDRBPO,PT,N
0235,MDRPOR,PT,N
0234,MDRLAV,PT,N
0233,MDRSWE,PT,N
0232,MDRARA,PT,N
0231,MDRFIN,PT,N
0230,MDRGRE,PT,N
0229,MDRRUS,PT,N
0228,MDRPOL,PT,N
0227,MDRLIT,HG,N
0226,MDRHRV,HG,N
0225,MDRCZE,HG,N
0224,MDRKOR,HG,N
0223,MDREST,HG,N
0222,MDRHUN,HG,N
0221,MDRBPO,HG,N
0220,MDRPOR,HG,N
0219,MDRLAV,HG,N
0218,MDRSWE,HG,N
0217,MDRARA,HG,N
0216,MDRFIN,HG,N
0215,MDRGRE,HG,N
0214,MDRPOL,HG,N
0213,MDRRUS,HG,N
0212,MDRLIT,HT,N
0211,MDRHRV,HT,N
0210,MDRCZE,HT,N
0209,MDRKOR,HT,N
0208,MDREST,HT,N
0207,MDRHUN,HT,N
0206,MDRBPO,HT,N
0205,MDRPOR,HT,N
0204,MDRLAV,HT,N
0203,MDRSWE,HT,N
0202,MDRARA,HT,N
0201,MDRFIN,HT,N
0200,MDRGRE,HT,N
0199,MDRPOL,HT,N
0198,MDRRUS,HT,N
0197,MDRLIT,LLT,N
0196,MDRHRV,LLT,N
0195,MDRCZE,LLT,N
0194,MDRKOR,LLT,N
0193,MDREST,LLT,N
0192,MDRHUN,LLT,N
0191,MDRBPO,LLT,N
0190,MDRPOR,LLT,N
0189,MDRLAV,LLT,N
0188,MDRSWE,LLT,N
0187,MDRARA,LLT,N
0186,MDRFIN,LLT,N
0185,MDRGRE,LLT,N
0184,MDRPOL,LLT,N
0183,MDRRUS,LLT,N
0182,MDRLIT,OS,N
0181,MDRHRV,OS,N
0180,MDRCZE,OS,N
0179,MDRKOR,OS,N
0178,MDREST,OS,N
0177,MDRHUN,OS,N
0176,MDRBPO,OS,N
0175,MDRPOR,OS,N
0174,MDRLAV,OS,N
0173,MDRSWE,OS,N
0172,MDRARA,OS,N
0171,MDRFIN,OS,N
0170,MDRPOL,OS,N
0169,MDRRUS,OS,N
0168,MDRGRE,OS,N
0167,MDRLIT,SMQ,N
0166,MDRHRV,SMQ,N
0165,MDRCZE,SMQ,N
0164,MDRKOR,SMQ,N
0163,MDREST,SMQ,N
0162,MDRHUN,SMQ,N
0161,MDRLAV,SMQ,N
0160,MDRSWE,SMQ,N
0159,MDRARA,SMQ,N
0158,MDRFIN,SMQ,N
0157,MDRPOL,SMQ,N
0156,MDRRUS,SMQ,N
0155,MDRGRE,SMQ,N
0154,MDRBPO,SMQ,N
0153,MDRPOR,SMQ,N
0152,MDRLIT,OL,Y
0151,MDRHRV,OL,Y
0150,MDRCZE,OL,Y
0149,MDREST,OL,Y
0148,MDRKOR,OL,Y
0147,MDRHUN,OL,Y
0146,MDRLAV,OL,Y
0145,MDRSWE,OL,Y
0144,MDRARA,OL,Y
0143,MDRFIN,OL,Y
0142,MDRGRE,OL,Y
0141,MDRPOL,OL,Y
0140,MDRRUS,OL,Y
0139,MDRBPO,OL,Y
0138,MDRPOR,OL,Y
0137,MDRHRV,AB,Y
0136,MDRLIT,AB,Y
0135,MDRCZE,AB,Y
0134,MDREST,AB,Y
0133,MDRKOR,AB,Y
0132,MDRHUN,AB,Y
0131,MDRLAV,AB,Y
0130,MDRSWE,AB,Y
0129,MDRARA,AB,Y
0128,MDRFIN,AB,Y
0127,MDRRUS,AB,Y
0126,MDRGRE,AB,Y
0125,MDRPOL,AB,Y
0124,MDRBPO,AB,Y
0123,MDRPOR,AB,Y
0122,MDRJPN,OSJKN,N
